,student_country,onboard_flag,totaldays_engaged,tendaysafter,conversion
6213,CI,1,2,57,0
6214,US,1,1,0,0
6215,IN,0,0,0,0
6216,IN,0,0,0,0
6217,ID,0,0,0,0
6218,IN,1,1,1,0
6219,NL,0,0,0,0
6220,US,0,0,0,0
6221,IN,0,0,0,0
6222,EG,0,0,0,0
6223,GB,0,0,0,0
6224,NG,0,0,0,0
6225,CO,0,0,0,0
6226,NG,1,1,0,0
6227,IN,1,1,0,0
6228,US,0,0,0,0
6229,IN,0,0,0,0
6230,US,0,0,0,0
6231,EG,0,0,0,0
6232,US,0,0,0,1
6233,MX,0,0,0,0
6234,RU,0,0,0,0
6235,IN,1,1,0,0
6236,IN,1,1,6,0
6237,GB,1,3,0,0
6238,IN,0,0,0,0
6239,US,1,34,1078,1
6240,US,0,0,0,0
6241,DE,0,0,0,0
6242,TR,0,0,0,0
6243,CA,0,0,0,0
6244,NG,1,1,15,0
6245,US,1,2,28,0
6246,KE,1,1,10,0
6247,IN,1,4,23,0
6248,IN,0,0,0,0
6249,US,1,1,0,0
6250,NG,0,0,0,0
6251,EG,1,1,2,0
6252,US,1,1,26,0
6253,EG,1,1,2,0
6254,EG,1,5,0,0
6255,PK,1,1,1,0
6256,AU,0,0,0,0
6257,CA,1,4,66,0
6258,MA,0,0,0,0
6259,EG,1,2,1,0
6260,NO,0,0,0,0
6261,GB,0,0,0,0
6262,DE,1,1,20,0
6263,CA,0,0,0,0
6264,GB,0,0,0,0
6265,EG,1,1,0,0
6266,PT,0,0,0,0
6267,GB,0,0,0,0
6268,CO,1,1,7,0
6269,BD,1,1,0,0
6270,IN,0,0,0,0
6271,US,0,0,0,0
6272,CA,0,0,0,0
6273,US,1,3,1,0
6274,EG,1,2,5,0
6275,IN,1,2,0,0
6276,IN,1,1,48,0
6277,US,1,21,47,0
6278,US,1,2,62,0
6279,US,1,1,0,0
6280,CA,0,0,0,0
6281,US,0,0,0,0
6282,IN,0,0,0,0
6283,US,0,0,0,0
6284,US,0,0,0,0
6285,BR,0,0,0,0
6286,ID,1,1,0,0
6287,FR,0,0,0,0
6288,SG,0,0,0,0
6289,IN,0,0,0,0
6290,GH,0,0,0,0
6291,IN,0,0,0,0
6292,DE,0,0,0,0
6293,BD,1,1,0,0
6294,TR,0,0,0,0
6295,US,1,1,7,0
6296,EG,1,1,0,0
6297,NG,1,3,12,0
6298,TR,1,1,9,0
6299,US,0,0,0,0
6300,PH,1,1,17,0
6301,IN,1,1,0,0
6302,NG,1,1,3,0
6303,TR,1,1,9,0
6304,MR,1,3,48,0
6305,PH,1,1,0,0
6306,GB,0,0,0,0
6307,IN,1,1,11,0
6308,EG,1,2,19,0
6309,SA,1,1,5,0
6310,IN,0,0,0,0
6311,EG,0,0,0,0
6312,NG,1,1,0,0
6313,SZ,0,0,0,0
6314,PL,0,0,0,0
6315,NG,0,0,0,0
6316,CA,0,0,0,0
6317,DE,1,1,1,0
6318,ES,0,0,0,0
6319,IN,1,1,0,0
6320,US,1,1,5,0
6321,GB,1,1,0,0
6322,SA,0,0,0,0
6323,BR,1,2,2,0
6324,PK,1,1,0,0
6325,US,0,0,0,0
6326,IN,1,18,40,1
6327,US,1,1,0,0
6328,US,1,12,21,1
6329,US,0,0,0,0
6330,US,0,0,0,0
6331,SE,0,0,0,0
6332,BR,0,0,0,0
6333,IN,0,0,0,0
6334,US,0,0,0,0
6335,US,0,0,0,0
6336,KR,1,1,26,0
6337,ES,0,0,0,0
6338,VN,1,4,39,0
6339,US,0,0,0,0
6340,US,0,0,0,0
6341,IL,1,1,0,0
6342,US,0,0,0,0
6343,PE,1,1,1,0
6344,IN,1,1,1,0
6345,GB,1,2,0,0
6346,US,1,7,296,1
6347,US,1,1,16,0
6348,IN,1,9,116,1
6349,CA,0,0,0,0
6350,US,1,4,30,0
6351,US,1,3,14,0
6352,US,0,0,0,0
6353,TR,1,1,6,0
6354,TR,1,2,4,0
6355,LB,1,1,12,0
6356,IN,0,0,0,0
6357,US,0,0,0,0
6358,NG,0,0,0,0
6359,NO,1,1,6,0
6360,GH,1,3,57,0
6361,CZ,1,2,91,0
6362,PT,0,0,0,0
6363,GB,0,0,0,0
6364,US,0,0,0,0
6365,CA,0,0,0,0
6366,TN,0,0,0,0
6367,US,1,15,13,1
6368,US,1,1,0,0
6369,PT,0,0,0,0
6370,EG,1,1,8,0
6371,NG,1,8,0,0
6372,NO,1,1,12,0
6373,NG,0,0,0,0
6374,GB,0,0,0,0
6375,US,0,0,0,0
6376,CA,1,1,0,0
6377,ES,0,0,0,0
6378,US,0,0,0,0
6379,IN,1,9,0,0
6380,NZ,1,1,3,0
6381,JP,1,1,10,0
6382,IN,0,0,0,0
6383,IN,1,2,9,0
6384,CA,1,1,0,0
6385,US,1,1,0,0
6386,EG,1,1,1,0
6387,US,1,6,66,0
6388,PH,0,0,0,0
6389,MX,1,2,26,0
6390,US,1,1,10,0
6391,BD,1,1,26,0
6392,IN,0,0,0,0
6393,IN,0,0,0,0
6394,US,0,0,0,0
6395,CN,0,0,0,0
6396,DZ,0,0,0,0
6397,BR,1,1,0,0
6398,KH,1,1,2,0
6399,US,1,10,106,1
6400,IN,1,1,1,0
6401,IT,0,0,0,0
6402,CA,0,0,0,0
6403,IN,0,0,0,0
6404,BD,1,4,28,0
6405,EG,0,0,0,0
6406,IN,1,1,0,0
6407,IN,1,1,7,0
6408,IN,1,1,1,0
6409,US,1,1,1,0
6410,US,1,1,10,0
6411,NG,1,1,11,0
6412,IN,1,5,44,0
6413,PK,0,0,0,0
6414,SA,1,89,10,0
6415,NG,1,30,112,1
6416,IN,0,0,0,0
6417,EG,1,3,17,0
6418,PK,1,1,2,0
6419,IN,1,1,17,0
6420,NG,1,1,15,0
6421,ZA,1,1,0,0
6422,AU,0,0,0,0
6423,IN,1,76,34,1
6424,PK,1,1,41,0
6425,NZ,1,1,1,0
6426,IN,1,1,0,0
6427,MA,0,0,0,0
6428,US,1,5,54,1
6429,CH,1,2,28,0
6430,IN,0,0,0,0
6431,EG,1,1,0,0
6432,US,1,29,131,1
6433,US,1,29,131,1
6434,US,1,29,131,1
6435,US,1,29,131,1
6436,US,1,29,131,1
6437,US,1,29,131,1
6438,US,1,29,131,1
6439,US,1,29,131,1
6440,PT,0,0,0,0
6441,SA,1,2,52,0
6442,US,0,0,0,0
6443,IN,0,0,0,0
6444,SG,0,0,0,0
6445,EG,0,0,0,0
6446,NO,1,1,15,0
6447,CA,0,0,0,0
6448,DE,1,3,120,0
6449,BD,0,0,0,0
6450,PE,1,4,19,1
6451,CA,0,0,0,0
6452,GB,0,0,0,0
6453,AU,0,0,0,0
6454,US,0,0,0,0
6455,NG,0,0,0,0
6456,TR,0,0,0,0
6457,US,1,3,9,0
6458,IE,1,4,43,0
6459,RS,1,11,268,1
6460,RS,1,11,268,1
6461,RS,1,11,268,1
6462,RS,1,11,268,1
6463,RS,1,11,268,1
6464,RS,1,11,268,1
6465,RS,1,11,268,1
6466,RS,1,11,268,1
6467,US,0,0,0,0
6468,EG,1,4,28,0
6469,NG,1,2,40,0
6470,BD,1,1,3,0
6471,BG,0,0,0,0
6472,GR,0,0,0,0
6473,BR,1,2,0,0
6474,ID,0,0,0,0
6475,MA,1,1,8,0
6476,KZ,0,0,0,0
6477,GB,1,1,1,0
6478,IN,1,2,1,0
6479,IN,1,1,10,0
6480,US,1,1,0,0
6481,EG,1,1,0,0
6482,AR,0,0,0,0
6483,NG,1,9,438,0
6484,EG,1,7,32,0
6485,US,1,1,23,0
6486,DZ,1,1,0,0
6487,DK,1,1,7,0
6488,ZA,0,0,0,0
6489,IN,1,1,35,0
6490,XK,1,1,13,0
6491,IN,1,1,0,0
6492,NG,0,0,0,0
6493,PT,0,0,0,0
6494,TN,1,1,44,0
6495,GH,1,2,27,0
6496,SE,0,0,0,0
6497,SD,0,0,0,0
6498,IN,1,2,0,0
6499,TR,1,2,33,0
6500,ES,1,2,7,0
6501,MA,1,3,0,1
6502,US,0,0,0,0
6503,US,1,1,1,0
6504,DE,1,2,2,0
6505,IT,1,2,12,0
6506,EG,1,2,4,0
6507,US,0,0,0,0
6508,US,0,0,0,0
6509,EG,1,3,0,0
6510,US,1,2,10,0
6511,US,1,20,170,1
6512,US,1,20,170,1
6513,US,1,20,170,1
6514,US,1,20,170,1
6515,US,1,20,170,1
6516,US,1,20,170,1
6517,US,1,20,170,1
6518,US,1,20,170,1
6519,ZA,0,0,0,0
6520,IN,0,0,0,0
6521,IN,1,1,6,0
6522,IN,0,0,0,0
6523,IN,0,0,0,0
6524,US,1,2,35,1
6525,US,1,2,35,1
6526,ES,1,1,0,0
6527,ID,0,0,0,0
6528,IN,1,1,0,0
6529,IN,0,0,0,0
6530,US,0,0,0,0
6531,NL,0,0,0,0
6532,US,0,0,0,0
6533,AU,0,0,0,0
6534,IN,0,0,0,0
6535,SA,0,0,0,0
6536,BD,0,0,0,0
6537,IN,0,0,0,0
6538,CA,0,0,0,0
6539,US,1,9,0,1
6540,US,1,9,0,1
6541,IN,0,0,0,0
6542,IN,1,1,1,0
6543,MY,0,0,0,0
6544,IN,0,0,0,0
6545,IT,1,5,120,1
6546,AZ,1,2,0,0
6547,ES,0,0,0,0
6548,IN,1,5,5,0
6549,EG,1,1,3,0
6550,PH,1,1,0,0
6551,IN,0,0,0,0
6552,GB,0,0,0,0
6553,EG,1,1,6,0
6554,IL,1,9,18,1
6555,IL,1,9,18,1
6556,IN,1,1,1,0
6557,IN,1,2,10,0
6558,MA,1,1,0,0
6559,IN,0,0,0,0
6560,IN,0,0,0,0
6561,CA,0,0,0,0
6562,GB,1,1,0,0
6563,SE,1,7,192,1
6564,PH,1,2,94,0
6565,SG,1,1,0,0
6566,HK,1,1,0,0
6567,NG,0,0,0,0
6568,NG,0,0,0,0
6569,IN,1,1,0,0
6570,EG,1,1,1,0
6571,GB,0,0,0,0
6572,NG,0,0,0,0
6573,US,0,0,0,0
6574,KR,1,4,109,0
6575,US,1,2,24,0
6576,IN,0,0,0,0
6577,DZ,0,0,0,0
6578,VN,1,2,24,0
6579,NG,1,2,39,0
6580,IN,1,1,8,0
6581,SA,1,2,4,0
6582,US,1,1,1,0
6583,IN,1,1,64,0
6584,IN,0,0,0,0
6585,EG,0,0,0,0
6586,GB,1,4,6,1
6587,GB,1,4,6,1
6588,IN,1,1,0,0
6589,IN,0,0,0,0
6590,MK,1,1,1,0
6591,GB,0,0,0,0
6592,IN,0,0,0,0
6593,TN,0,0,0,0
6594,ZM,0,0,0,0
6595,JO,1,1,2,0
6596,SA,1,55,88,1
6597,SA,1,55,88,1
6598,SA,1,55,88,1
6599,SA,1,55,88,1
6600,JO,0,0,0,0
6601,MA,0,0,0,0
6602,IN,1,3,0,0
6603,UZ,0,0,0,0
6604,GB,1,2,0,0
6605,SE,1,1,1,0
6606,RS,0,0,0,0
6607,SA,1,1,2,0
6608,PK,1,3,127,0
6609,TN,1,3,42,0
6610,AR,0,0,0,0
6611,SA,1,11,242,1
6612,TN,1,2,32,0
6613,NG,0,0,0,0
6614,CH,1,1,6,0
6615,DE,1,1,4,0
6616,EG,1,2,1,0
6617,US,0,0,0,0
6618,CA,1,2,10,0
6619,NZ,1,1,4,0
6620,EG,1,1,2,0
6621,CA,0,0,0,0
6622,US,1,2,0,0
6623,DE,0,0,0,0
6624,DE,1,1,1,0
6625,PK,0,0,0,0
6626,EE,0,0,0,0
6627,PK,1,1,0,0
6628,DE,0,0,0,0
6629,AT,1,3,5,0
6630,DO,1,1,2,0
6631,US,1,1,18,0
6632,IN,1,1,1,0
6633,CA,0,0,0,0
6634,US,1,1,17,0
6635,MA,0,0,0,0
6636,US,1,1,5,0
6637,CN,1,4,64,0
6638,IN,0,0,0,0
6639,CA,0,0,0,0
6640,US,1,7,27,0
6641,US,1,1,1,0
6642,IN,1,2,48,0
6643,LB,0,0,0,0
6644,GB,0,0,0,0
6645,US,1,1,14,0
6646,CA,0,0,0,0
6647,US,0,0,0,0
6648,US,0,0,0,0
6649,AU,1,1,1,0
6650,IN,0,0,0,0
6651,NG,1,11,180,1
6652,PK,0,0,0,0
6653,PK,1,1,0,0
6654,US,0,0,0,0
6655,ID,1,1,6,0
6656,NZ,0,0,0,0
6657,BG,1,1,2,0
6658,IN,1,3,0,0
6659,NZ,1,42,2,1
6660,DE,0,0,0,0
6661,US,1,1,1,0
6662,NG,0,0,0,0
6663,US,1,1,1,0
6664,SA,1,1,0,0
6665,ES,1,4,82,0
6666,CN,1,32,268,1
6667,CN,1,32,268,1
6668,CN,1,32,268,1
6669,IN,1,1,1,0
6670,DZ,1,1,1,0
6671,US,0,0,0,0
6672,BD,0,0,0,0
6673,GB,1,1,1,0
6674,KE,1,1,14,0
6675,IN,0,0,0,0
6676,HU,0,0,0,0
6677,IN,0,0,0,0
6678,IN,0,0,0,0
6679,US,1,4,966,1
6680,IN,0,0,0,0
6681,IN,1,1,41,0
6682,UZ,0,0,0,0
6683,IN,0,0,0,0
6684,GB,1,2,69,0
6685,ZA,1,1,6,0
6686,DE,0,0,0,0
6687,GB,0,0,0,0
6688,PT,1,34,0,1
6689,SD,1,1,1,0
6690,DE,1,7,257,1
6691,EG,1,9,23,0
6692,GB,0,0,0,0
6693,PT,0,0,0,0
6694,EG,0,0,0,0
6695,SA,1,1,0,0
6696,PL,0,0,0,0
6697,US,0,0,0,0
6698,EG,1,1,0,0
6699,IN,1,1,2,0
6700,MX,0,0,0,0
6701,PE,1,1,1,0
6702,GH,1,2,32,0
6703,FR,1,1,0,0
6704,MY,1,1,5,0
6705,ID,0,0,0,0
6706,NG,0,0,0,0
6707,BD,1,2,1,0
6708,VC,1,1,1,0
6709,FR,1,2,0,0
6710,IN,0,0,0,0
6711,KR,1,2,6,0
6712,AU,0,0,0,0
6713,EG,1,1,0,0
6714,EG,0,0,0,0
6715,ET,0,0,0,0
6716,CA,0,0,0,0
6717,IN,1,1,0,0
6718,EG,1,1,0,0
6719,AU,0,0,0,0
6720,NL,1,1,7,0
6721,US,1,14,8,1
6722,PE,0,0,0,0
6723,ID,1,2,8,0
6724,GB,1,5,23,0
6725,ES,0,0,0,0
6726,EG,0,0,0,0
6727,US,0,0,0,0
6728,NG,0,0,0,0
6729,BE,1,1,30,0
6730,TR,0,0,0,0
6731,EG,1,1,3,0
6732,IN,0,0,0,0
6733,GB,1,2,9,0
6734,GB,0,0,0,0
6735,ID,0,0,0,0
6736,ID,0,0,0,0
6737,CO,0,0,0,0
6738,US,1,2,20,0
6739,PK,0,0,0,0
6740,IL,1,2,64,1
6741,CA,1,2,89,0
6742,US,0,0,0,0
6743,CA,1,1,2,0
6744,DE,1,1,1,0
6745,EG,0,0,0,0
6746,ES,1,1,0,0
6747,IN,0,0,0,0
6748,KE,1,1,1,0
6749,US,0,0,0,0
6750,PL,1,1,8,0
6751,US,0,0,0,0
6752,US,0,0,0,0
6753,IN,0,0,0,0
6754,IT,1,1,17,0
6755,NG,0,0,0,0
6756,ZM,1,1,7,0
6757,EG,0,0,0,0
6758,IN,0,0,0,0
6759,IN,1,1,5,0
6760,US,0,0,0,0
6761,IN,1,1,31,0
6762,NG,1,1,20,0
6763,US,0,0,0,0
6764,US,1,56,440,1
6765,DE,0,0,0,0
6766,DZ,0,0,0,0
6767,US,1,1,4,1
6768,US,1,3,43,0
6769,ID,1,1,0,0
6770,MA,0,0,0,0
6771,IT,0,0,0,0
6772,JO,0,0,0,0
6773,US,1,7,132,1
6774,CO,0,0,0,0
6775,IN,1,1,0,0
6776,ES,0,0,0,0
6777,MA,1,1,1,0
6778,CH,0,0,0,0
6779,TN,1,1,1,0
6780,IT,1,1,0,0
6781,US,0,0,0,0
6782,CA,1,1,6,0
6783,GB,1,1,16,0
6784,ES,1,4,28,0
6785,PT,1,4,18,0
6786,NG,1,1,11,0
6787,MA,1,1,1,0
6788,US,0,0,0,0
6789,IN,1,1,2,0
6790,US,0,0,0,0
6791,CA,0,0,0,0
6792,US,1,2,36,0
6793,IT,0,0,0,0
6794,IN,1,1,42,0
6795,AE,1,2,56,0
6796,CA,1,1,0,0
6797,US,1,28,31,1
6798,ID,0,0,0,0
6799,SG,0,0,0,0
6800,FR,1,2,21,0
6801,IN,1,3,59,0
6802,PA,0,0,0,0
6803,AU,0,0,0,0
6804,US,1,1,32,0
6805,MY,1,5,75,0
6806,BD,0,0,0,0
6807,SE,0,0,0,0
6808,GH,0,0,0,0
6809,US,1,1,10,0
6810,US,1,10,164,1
6811,CA,0,0,0,0
6812,ZA,1,1,23,0
6813,KE,0,0,0,0
6814,US,0,0,0,0
6815,IN,0,0,0,0
6816,IN,1,1,4,0
6817,EG,1,1,10,0
6818,CA,0,0,0,0
6819,AZ,1,1,12,0
6820,KE,1,1,10,0
6821,SG,0,0,0,0
6822,NG,1,1,46,0
6823,IN,1,1,52,0
6824,HK,0,0,0,0
6825,IN,1,2,46,0
6826,AE,1,2,24,0
6827,GB,1,1,20,0
6828,EG,1,1,0,0
6829,IN,1,1,0,0
6830,IN,0,0,0,0
6831,AZ,1,3,43,1
6832,IN,0,0,0,0
6833,ID,0,0,0,0
6834,IN,0,0,0,0
6835,IN,1,2,11,0
6836,IN,1,2,34,0
6837,IN,1,12,20,1
6838,CA,0,0,0,0
6839,DE,0,0,0,0
6840,ID,0,0,0,0
6841,IN,0,0,0,0
6842,SA,1,1,0,0
6843,CA,0,0,0,0
6844,IN,0,0,0,0
6845,DE,0,0,0,0
6846,AU,0,0,0,0
6847,ID,0,0,0,0
6848,ID,0,0,0,0
6849,IN,0,0,0,0
6850,NG,0,0,0,0
6851,BR,0,0,0,0
6852,DE,1,4,308,1
6853,TR,0,0,0,0
6854,KZ,0,0,0,0
6855,GB,0,0,0,0
6856,SD,0,0,0,0
6857,IN,1,1,2,0
6858,EG,0,0,0,0
6859,IN,0,0,0,0
6860,US,1,1,10,0
6861,GB,0,0,0,0
6862,IN,1,1,0,0
6863,GB,1,1,6,0
6864,IN,0,0,0,0
6865,US,1,30,0,1
6866,US,1,30,0,1
6867,US,1,30,0,1
6868,US,1,30,0,1
6869,US,1,30,0,1
6870,US,1,30,0,1
6871,US,1,30,0,1
6872,US,1,30,0,1
6873,PT,1,1,0,0
6874,KE,0,0,0,0
6875,CA,1,1,0,0
6876,AR,1,1,0,0
6877,LK,0,0,0,0
6878,GB,1,1,51,0
6879,NG,0,0,0,0
6880,GB,0,0,0,0
6881,DE,0,0,0,0
6882,US,0,0,0,0
6883,ID,0,0,0,0
6884,US,1,1,0,0
6885,PK,1,1,0,0
6886,EG,0,0,0,0
6887,PT,1,4,0,0
6888,IT,0,0,0,0
6889,FI,1,2,32,0
6890,IN,1,2,36,0
6891,FR,0,0,0,0
6892,IN,1,1,7,0
6893,US,1,1,4,0
6894,NG,0,0,0,0
6895,TN,1,1,2,0
6896,NP,1,1,0,0
6897,CA,0,0,0,0
6898,CA,1,2,56,0
6899,GB,1,1,2,0
6900,DE,0,0,0,0
6901,IN,0,0,0,0
6902,GB,0,0,0,0
6903,IN,1,1,1,0
6904,GB,0,0,0,0
6905,BZ,1,1,44,0
6906,US,1,1,24,0
6907,US,0,0,0,0
6908,CA,1,1,1,0
6909,AE,0,0,0,0
6910,ES,0,0,0,0
6911,TR,0,0,0,0
6912,GB,1,1,56,0
6913,NG,1,7,0,0
6914,US,0,0,0,0
6915,BE,0,0,0,0
6916,US,1,1,0,0
6917,GB,1,1,6,0
6918,CA,1,1,3,0
6919,NL,0,0,0,0
6920,IT,1,2,25,0
6921,CA,0,0,0,0
6922,US,0,0,0,0
6923,US,0,0,0,0
6924,US,0,0,0,0
6925,US,1,29,212,1
6926,CA,0,0,0,0
6927,US,0,0,0,0
6928,FR,1,2,12,0
6929,US,1,1,0,0
6930,GB,0,0,0,0
6931,SG,1,14,448,1
6932,SG,1,14,448,1
6933,US,0,0,0,0
6934,US,0,0,0,0
6935,CA,1,1,5,1
6936,US,0,0,0,0
6937,US,0,0,0,0
6938,IN,1,1,5,0
6939,US,1,1,24,0
6940,IN,0,0,0,0
6941,IN,0,0,0,0
6942,US,1,71,128,1
6943,EG,1,3,93,0
6944,US,0,0,0,0
6945,IN,0,0,0,0
6946,US,1,3,46,0
6947,US,1,1,3,0
6948,CH,0,0,0,0
6949,US,1,2,0,0
6950,NP,1,1,2,0
6951,IN,0,0,0,0
6952,US,0,0,0,0
6953,IN,0,0,0,0
6954,PK,0,0,0,0
6955,IN,0,0,0,0
6956,US,0,0,0,0
6957,IN,1,1,1,0
6958,AU,0,0,0,0
6959,IN,0,0,0,0
6960,SE,0,0,0,0
6961,DE,0,0,0,0
6962,IN,1,2,55,0
6963,NZ,0,0,0,0
6964,IN,1,1,35,0
6965,KE,1,2,7,0
6966,SI,1,1,7,0
6967,FR,1,2,47,0
6968,MY,0,0,0,0
6969,IN,1,1,2,0
6970,US,1,1,23,0
6971,TN,1,1,0,1
6972,FI,1,1,15,0
6973,TR,1,1,0,0
6974,TW,0,0,0,0
6975,GB,1,1,28,0
6976,IN,0,0,0,0
6977,ID,0,0,0,0
6978,NG,0,0,0,0
6979,AR,0,0,0,0
6980,ES,1,35,35,1
6981,NG,0,0,0,0
6982,CY,0,0,0,0
6983,BD,1,3,43,0
6984,IN,0,0,0,0
6985,NG,0,0,0,0
6986,GB,0,0,0,0
6987,US,1,1,2,0
6988,MA,1,1,0,0
6989,TR,1,1,4,0
6990,BR,1,1,2,0
6991,IN,1,1,7,0
6992,VN,1,5,51,0
6993,EG,1,1,1,0
6994,DE,0,0,0,0
6995,IN,0,0,0,0
6996,GB,1,1,16,0
6997,SG,0,0,0,0
6998,EG,0,0,0,0
6999,IN,0,0,0,0
7000,BR,0,0,0,0
7001,IN,1,1,6,0
7002,IN,0,0,0,0
7003,AU,0,0,0,0
7004,IN,1,5,48,0
7005,DE,1,31,68,1
7006,PT,0,0,0,0
7007,EG,0,0,0,0
7008,PT,0,0,0,0
7009,IN,1,1,17,0
7010,IN,0,0,0,0
7011,SE,1,6,40,0
7012,SE,1,1,6,0
7013,NG,1,2,8,0
7014,FR,0,0,0,0
7015,PK,0,0,0,0
7016,CN,0,0,0,0
7017,US,1,1,28,0
7018,JM,1,1,7,0
7019,KE,1,1,0,0
7020,BE,1,1,0,0
7021,BD,1,4,54,0
7022,EG,0,0,0,0
7023,IN,1,1,1,0
7024,ES,1,1,19,0
7025,IN,0,0,0,0
7026,CA,1,2,8,0
7027,US,1,1,16,0
7028,DE,0,0,0,0
7029,KE,0,0,0,0
7030,BD,0,0,0,0
7031,GB,0,0,0,0
7032,CZ,1,3,0,1
7033,US,1,12,258,0
7034,DE,0,0,0,0
7035,ID,0,0,0,0
7036,EC,1,1,2,0
7037,ID,1,20,0,1
7038,VN,1,15,67,1
7039,GR,0,0,0,0
7040,NL,1,1,0,0
7041,US,1,1,5,0
7042,EG,1,1,0,0
7043,CA,0,0,0,0
7044,IN,0,0,0,0
7045,US,0,0,0,0
7046,GB,0,0,0,0
7047,PK,1,2,89,0
7048,GB,1,1,88,0
7049,AU,1,2,0,0
7050,PH,0,0,0,0
7051,IN,0,0,0,0
7052,IN,0,0,0,0
7053,CO,0,0,0,0
7054,SG,0,0,0,0
7055,VN,1,1,4,0
7056,NG,0,0,0,0
7057,US,1,3,29,0
7058,EG,0,0,0,0
7059,IN,1,1,25,0
7060,KM,0,0,0,0
7061,IN,0,0,0,0
7062,US,1,1,2,0
7063,US,0,0,0,0
7064,KM,1,1,0,0
7065,US,0,0,0,0
7066,US,1,4,6,1
7067,PH,0,0,0,0
7068,US,1,1,2,0
7069,NG,1,1,5,0
7070,IN,0,0,0,0
7071,DE,1,4,1,0
7072,EG,0,0,0,0
7073,KE,0,0,0,0
7074,JO,1,1,3,0
7075,KE,0,0,0,0
7076,KE,0,0,0,0
7077,EG,0,0,0,0
7078,TN,1,1,3,0
7079,ID,1,1,5,0
7080,SA,1,1,0,0
7081,IN,0,0,0,0
7082,US,1,1,10,0
7083,DE,1,1,1,0
7084,GB,1,1,19,0
7085,VN,1,3,81,0
7086,LT,1,1,30,0
7087,AZ,0,0,0,0
7088,SA,1,3,38,0
7089,GB,0,0,0,0
7090,CH,1,1,6,0
7091,IT,0,0,0,0
7092,NG,1,1,21,0
7093,GH,0,0,0,0
7094,CN,0,0,0,0
7095,NO,1,2,17,0
7096,EG,1,1,0,0
7097,BD,0,0,0,0
7098,RW,0,0,0,0
7099,RW,0,0,0,0
7100,IN,0,0,0,0
7101,IT,1,1,1,0
7102,NG,0,0,0,0
7103,PT,1,1,3,0
7104,PL,1,1,4,0
7105,DE,0,0,0,0
7106,MA,1,2,15,0
7107,NG,1,2,10,0
7108,DE,1,2,19,0
7109,NG,1,1,0,0
7110,FR,0,0,0,0
7111,DE,0,0,0,0
7112,DE,1,2,1,0
7113,FR,1,1,7,0
7114,GH,1,3,78,0
7115,UZ,1,1,6,0
7116,CA,0,0,0,0
7117,US,1,1,20,0
7118,AM,1,3,0,0
7119,ES,0,0,0,0
7120,CA,0,0,0,0
7121,YE,0,0,0,0
7122,US,0,0,0,0
7123,HU,0,0,0,0
7124,IN,1,1,7,0
7125,PT,0,0,0,0
7126,PK,0,0,0,0
7127,CA,1,2,2,0
7128,US,1,2,128,1
7129,EG,0,0,0,0
7130,GH,0,0,0,0
7131,JO,1,3,71,0
7132,SI,0,0,0,0
7133,TR,1,1,1,0
7134,GB,0,0,0,0
7135,GB,0,0,0,0
7136,CA,1,1,0,0
7137,TR,1,1,2,0
7138,US,1,8,113,1
7139,EG,0,0,0,0
7140,US,0,0,0,0
7141,KE,0,0,0,0
7142,US,1,2,10,0
7143,ZW,1,1,2,0
7144,AZ,0,0,0,0
7145,EG,1,1,8,0
7146,PT,0,0,0,0
7147,AU,1,1,6,0
7148,BD,0,0,0,0
7149,CA,0,0,0,0
7150,EG,0,0,0,0
7151,MA,0,0,0,0
7152,NL,1,1,0,0
7153,US,0,0,0,0
7154,US,1,1,7,0
7155,BF,1,18,83,0
7156,CO,0,0,0,0
7157,ES,1,3,43,0
7158,EG,1,1,1,0
7159,NG,1,1,0,0
7160,US,1,13,463,1
7161,EG,0,0,0,0
7162,EG,1,1,0,0
7163,US,0,0,0,0
7164,EG,0,0,0,0
7165,US,0,0,0,0
7166,CA,1,1,1,0
7167,ZW,1,2,0,0
7168,SN,0,0,0,0
7169,US,0,0,0,0
7170,IN,0,0,0,0
7171,US,1,1,1,0
7172,CA,0,0,0,0
7173,TR,1,1,0,0
7174,US,1,1,0,0
7175,KE,0,0,0,0
7176,US,0,0,0,0
7177,IN,0,0,0,0
7178,BG,0,0,0,0
7179,IN,0,0,0,0
7180,AE,0,0,0,0
7181,GB,1,1,3,0
7182,IN,1,1,4,0
7183,BG,0,0,0,0
7184,NG,1,1,4,0
7185,DE,1,2,6,0
7186,CA,0,0,0,0
7187,US,1,1,14,0
7188,NG,1,1,1,0
7189,PT,0,0,0,0
7190,NG,1,1,27,0
7191,ES,0,0,0,0
7192,DE,0,0,0,0
7193,IL,0,0,0,0
7194,BG,0,0,0,0
7195,IN,1,12,9,1
7196,IN,1,12,9,1
7197,IN,1,12,9,1
7198,IN,1,12,9,1
7199,IN,1,12,9,1
7200,IN,1,12,9,1
7201,IN,1,12,9,1
7202,IN,0,0,0,0
7203,BG,0,0,0,0
7204,SG,0,0,0,0
7205,GB,1,1,46,0
7206,BG,0,0,0,0
7207,EG,0,0,0,0
7208,IN,0,0,0,0
7209,MM,0,0,0,0
7210,PT,0,0,0,0
7211,IN,1,1,22,0
7212,AZ,1,1,2,0
7213,KE,0,0,0,0
7214,NG,1,1,0,0
7215,NG,1,2,1,0
7216,DE,1,4,4,0
7217,SA,1,1,0,0
7218,IN,1,2,28,0
7219,EG,1,2,51,0
7220,IN,0,0,0,0
